
2019-06-03 16:33:06:
iter 0 : cost time : 0 ms.
101 100
4 81
33 73
1 40
2 10
2 72
3 32
3 80
3 94
4 14
4 63
5 29
5 34
5 98
6 65
6 69
7 35
10 70
12 57
13 57
13 97
14 46
14 51
14 84
14 94
15 55
16 64
17 3
17 48
18 4
18 19
18 57
19 8
19 47
19 59
19 87
19 89
20 11
21 35
21 61
22 64
22 74
23 12
23 39
23 76
23 78
23 96
26 14
27 6
27 42
27 55
28 17
30 16
30 27
30 40
30 84
31 19
31 23
31 37
31 70
31 75
32 53
32 57
33 3
33 7
33 21
34 56
35 36
35 84
36 44
36 93
37 18
37 28
37 45
37 52
37 54
39 11
39 66
39 83
41 10
41 44
42 4
42 43
42 90
42 99
43 3
44 73
44 82
44 92
46 54
47 89
47 96
49 50
49 91
49 100
54 29
54 57
55 79
55 97
56 81
57 93
